selection_method,run,generation,best_fitness,avg_fitness,diversity,fitness_delta,normalized_fitness,inv_best_fitness,inv_avg_fitness
ranking,4,6,0.22242483310683644,0.27091090890755487,0.02025015556600264,0.0,0.014633810104343503,4.495880653933197,3.6912367715117202
ranking,4,7,0.22242483310683644,0.27750153405133415,0.018004250590723612,0.0,0.014633810104343503,4.495880653933197,3.6035706968175427
ranking,4,8,0.22242483310683644,0.27982823556915,0.01880687463606393,0.0,0.014633810104343503,4.495880653933197,3.57360801835477
ranking,4,9,0.22242483310683644,0.28162133744243073,0.019358180071728227,0.0,0.014633810104343503,4.495880653933197,3.5508546981093794
ranking,4,10,0.22242483310683644,0.28344240792438596,0.019979640653334817,0.0,0.014633810104343503,4.495880653933197,3.528041125820677
ranking,4,11,0.22242483310683644,0.2824634001695237,0.022661654149071217,0.0,0.014633810104343503,4.495880653933197,3.5402691432967854
ranking,4,12,0.22242483310683644,0.2852828302048718,0.020398964072684118,0.0,0.014633810104343503,4.495880653933197,3.5052810363695235
ranking,4,13,0.22242483310683644,0.28653993464529964,0.020972944367667987,0.0,0.014633810104343503,4.495880653933197,3.4899027646359495
boltzmann,0,0,0.21026869019670322,0.24873245727744436,0.015459446193060855,0.0,0.0,4.755797181536337,4.020367870674397
boltzmann,0,1,0.21026869019670322,0.2432352349798711,0.016665393764258626,0.0,0.0,4.755797181536337,4.111229562827079
boltzmann,0,2,0.21026496044394719,0.2350863348647178,0.016206826172437818,3.7297527560320454e-06,1.7738032003444815e-05,4.755881541114119,4.25373829932376
boltzmann,0,3,0.1892793101109223,0.2361837572101201,0.023311632427539034,0.02098565033302488,0.09982170938595591,5.283169704307746,4.233973486740963
boltzmann,0,4,0.18839405195966905,0.23439615304142952,0.026346490524312493,0.0008852581512532598,0.10403183762913426,5.30799503276804,4.266263420969327
boltzmann,0,5,0.18811287660232653,0.22662257076197412,0.02676459044710433,0.0002811753573425113,0.10536905696064525,5.31592893656646,4.412603669767051
boltzmann,0,6,0.18811287660232653,0.21370945618020012,0.019999149539451772,0.0,0.10536905696064525,5.31592893656646,4.679228231850305
boltzmann,0,7,0.18629399676989605,0.2090795934787691,0.017482289960112328,0.0018188798324304811,0.11401932168017592,5.3678306843374815,4.782844659858612
boltzmann,0,8,0.18629399676989605,0.20653690564424684,0.01620915780619137,0.0,0.11401932168017592,5.3678306843374815,4.841726253012652
boltzmann,0,9,0.185729795932137,0.20499416131663437,0.01696402729847752,0.0005642008377590435,0.11670255919514427,5.38413672854438,4.8781639214176655
boltzmann,0,10,0.185729795932137,0.20692597368772056,0.0197405747111544,0.0,0.11670255919514427,5.38413672854438,4.832622746946122
boltzmann,0,11,0.18529815943217015,0.20253999116637547,0.017287338710803717,0.0004316364999668587,0.11875534460776593,5.39667855517745,4.937272175085581
boltzmann,0,12,0.18529815943217015,0.196796125323451,0.01278929694125854,0.0,0.11875534460776593,5.39667855517745,5.081375037142561
boltzmann,0,13,0.18510224728485608,0.19551437236053532,0.010165445081534564,0.00019591214731407014,0.11968706747687596,5.402390366826446,5.114687341085255
boltzmann,0,14,0.18504402581476298,0.19411053928512018,0.011130928877909065,5.8221470093100525e-05,0.11996395829708617,5.40409014290953,5.151677245375675
boltzmann,0,15,0.18387588630512805,0.19222861535465022,0.00923785592628896,0.00116813950963493,0.12551941930529498,5.438421435637022,5.20211205830626
boltzmann,0,16,0.18355920727599476,0.1881890856165168,0.006284555293543519,0.00031667902913329327,0.12702548770205468,5.447803828726531,5.313776210494659
boltzmann,0,17,0.1829773232548007,0.18998834810976303,0.008451558666067492,0.0005818840211940512,0.1297928232509169,5.465128230558117,5.263452977491493
boltzmann,0,18,0.1829773232548007,0.1901617126367362,0.009468082072099015,0.0,0.1297928232509169,5.465128230558117,5.258654476128971
boltzmann,0,19,0.1828483661545999,0.1880828958727401,0.007184221135006842,0.00012895710020080497,0.1304061199813059,5.4689825894966235,5.3167763000645865
boltzmann,0,20,0.1828483661545999,0.1876692776275472,0.007438508408272416,0.0,0.1304061199813059,5.4689825894966235,5.328494275394064
boltzmann,0,21,0.18172828541454358,0.18705461011895816,0.006861516696034473,0.0011200807400563173,0.13573302214162508,5.5026904316433916,5.346003786596132
boltzmann,0,22,0.18172828541454358,0.1852946722906054,0.004537096590244636,0.0,0.13573302214162508,5.5026904316433916,5.3967801170858785
boltzmann,0,23,0.18172828541454358,0.18512675280133623,0.004700728682517358,0.0,0.13573302214162508,5.5026904316433916,5.401675247865819
boltzmann,0,24,0.1814588883182411,0.18479952029338118,0.004768775112922872,0.00026939709630247055,0.13701422618608106,5.510859778808074,5.411240176231344
boltzmann,0,25,0.18075181960145068,0.1844090649394967,0.004563578438369762,0.0007070687167904377,0.14037691758882387,5.532417155123451,5.42269751018249
boltzmann,0,26,0.17988740815125748,0.1839085146497056,0.004416942521411925,0.0008644114501931977,0.14448790267835165,5.55900188498616,5.437456576973251
boltzmann,0,27,0.17988740815125748,0.1852064736365574,0.005716855310191399,0.0,0.14448790267835165,5.55900188498616,5.399350146972761
boltzmann,0,28,0.17985738128695256,0.18269064270356733,0.001698318125646545,3.002686430492174e-05,0.14463070503412245,5.559929945130352,5.473704134472012
boltzmann,0,29,0.1792484576555225,0.182500140280428,0.0018501495956690503,0.0006089236314300583,0.14752663609670924,5.578817437326796,5.479417818778654
boltzmann,0,30,0.1792484576555225,0.18215972705785297,0.0018866883629080353,0.0,0.14752663609670924,5.578817437326796,5.489657491773224
boltzmann,0,31,0.1792484576555225,0.18121925233222938,0.0017763184823111837,0.0,0.14752663609670924,5.578817437326796,5.518147045544939
boltzmann,0,32,0.1792484576555225,0.1812517178683718,0.0017691458925531301,0.0,0.14752663609670924,5.578817437326796,5.517158648766931
boltzmann,0,33,0.1790926590880775,0.18094242843597272,0.0015629526901600177,0.00015579856744499243,0.14826758600845902,5.583670606161462,5.526589214340285
boltzmann,0,34,0.1786153679992049,0.18055432702234078,0.0014601108255100643,0.0004772910888725945,0.15053749641892522,5.598591054121375,5.538468548625355
boltzmann,0,35,0.17805079243092742,0.180202885085753,0.0015315658641295137,0.0005645755682774922,0.1532225160847126,5.616343347893761,5.549269925696294
boltzmann,0,36,0.17805079243092742,0.1801119763302195,0.0016372232958332138,0.0,0.1532225160847126,5.616343347893761,5.552070818965303
